NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_2.H25.2|Check that the title element describes the document.
ERROR|WCAG2A.Principle3.Guideline3_1.3_1_1.H57.2|The html element should have a lang or xml:lang attribute which describes the language of the document.
ERROR|WCAG2A.Principle3.Guideline3_2.3_2_2.H32.2|Form does not contain a submit button (input type="submit", input type="image", or button type="submit").
NOTICE|WCAG2A.Principle3.Guideline3_3.3_3_1.G83,G84,G85|If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.
NOTICE|WCAG2A.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90|Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.
NOTICE|WCAG2A.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.
NOTICE|WCAG2A.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.
NOTICE|WCAG2A.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
ERROR|WCAG2A.Principle4.Guideline4_1.4_1_1.F77|Duplicate id attribute value "" found on the web page.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
ERROR|WCAG2A.Principle4.Guideline4_1.4_1_1.F77|Duplicate id attribute value "" found on the web page.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
ERROR|WCAG2A.Principle4.Guideline4_1.4_1_1.F77|Duplicate id attribute value "" found on the web page.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
ERROR|WCAG2A.Principle4.Guideline4_1.4_1_1.F77|Duplicate id attribute value "" found on the web page.
NOTICE|WCAG2A.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81|Check that the link text combined with programmatically determined link context identifies the purpose of the link.
